kod_stacji,nazwa_stacji,lon,lat,stan,stan_data,przelyw,przeplyw_data
151180010,OŁOBOK,18.068889,51.639444,72,2025-03-26 03:20:00,1,2025-03-26 03:20:00
151180020,PIWONICE,18.107222,51.726667,95,2025-03-26 03:20:00,9,2025-03-26 03:20:00
151180030,KUŹNICA SKAKAWSKA,18.131667,51.279722,54,2025-03-26 03:20:00,1,2025-03-26 03:20:00
151180040,MIRKÓW,18.154722,51.315556,152,2025-03-26 03:20:00,3,2025-03-26 03:20:00
151180050,DĘBE,18.197778,51.791389,235,2025-03-31 09:20:00,2,2025-03-31 09:20:00
151180060,KRASZEWICE,18.225,51.519167,166,2024-09-27 14:20:00,0,2024-09-27 14:20:00
151180070,GORZÓW ŚLĄSKI,18.434444,51.035278,108,2025-03-26 03:20:00,1,2025-03-26 03:20:00
151180080,SIERADZ,18.741944,51.6,185,2025-03-31 09:20:00,32,2025-03-31 09:20:00
151180090,NIECHMIRÓW,18.762222,51.388056,107,2024-09-30 16:50:00,1,2024-09-30 16:50:00
151180100,OSJAKÓW,18.785,51.285556,157,2025-03-31 09:20:00,,
151180110,UNIEJÓW,18.791111,51.9725,8,2025-03-31 09:20:00,16,2025-03-31 09:20:00
151180120,BURZENIN,18.837778,51.458333,91,2025-03-31 09:20:00,20,2025-03-31 09:20:00
151180130,DZIAŁOSZYN,18.873333,51.110278,425,2025-03-31 09:20:00,15,2025-03-31 09:20:00
151180140,PODGÓRZE,18.943056,51.465,124,2025-03-31 09:20:00,9,2025-03-31 09:20:00
151180160,PODDĘBICE,18.949444,51.891667,115,2024-09-27 14:20:00,3,2024-09-27 14:20:00
151180180,GRABNO,18.985278,51.458333,122,2024-09-27 14:20:00,1,2024-09-27 14:20:00
151190010,KULE,19.048056,51.042778,110,2025-03-28 04:50:00,5,2025-03-28 04:50:00
151190030,ŁASK,19.121944,51.596944,112,2025-03-26 03:20:00,2,2025-03-26 03:20:00
151190040,LUTOMIERSK,19.221389,51.756389,148,2024-09-27 14:20:00,,
151190060,BOBRY,19.405278,51.025278,92,2025-03-31 09:20:00,8,2025-03-31 09:20:00
